Timestamp, Total Electric Usage (C), Total Electric Demand (C)
2023-07-31 23:45:00,19.75,79.0
2023-08-01 00:00:00,19.75,79.0
2023-08-01 00:15:00,19.84375,79.375
2023-08-01 00:30:00,20.15625,80.625
2023-08-01 00:45:00,21.34375,85.375
2023-08-01 01:00:00,20.65625,82.625
2023-08-01 01:15:00,19.65625,78.625
2023-08-01 01:30:00,19.71875,78.875
2023-08-01 01:45:00,20.28125,81.125
2023-08-01 02:00:00,19.8125,79.25
2023-08-01 02:15:00,19.6875,78.75
2023-08-01 02:30:00,19.6875,78.75
2023-08-01 02:45:00,19.9375,79.75
2023-08-01 03:00:00,21.4375,85.75
2023-08-01 03:15:00,20.59375,82.375
2023-08-01 03:30:00,19.75,79.0
2023-08-01 03:45:00,20.0,80.0
2023-08-01 04:00:00,20.40625,81.625
2023-08-01 04:15:00,21.0625,84.25
2023-08-01 04:30:00,20.59375,82.375
2023-08-01 04:45:00,19.90625,79.625
2023-08-01 05:00:00,20.71875,82.875
2023-08-01 05:15:00,21.8125,87.25
2023-08-01 05:30:00,20.6875,82.75
2023-08-01 05:45:00,19.375,77.5
2023-08-01 06:00:00,19.84375,79.375
2023-08-01 06:15:00,38.71875,154.875
2023-08-01 06:30:00,39.15625,156.625
2023-08-01 06:45:00,36.375,145.5
2023-08-01 07:00:00,35.65625,142.625
2023-08-01 07:15:00,36.59375,146.375
2023-08-01 07:30:00,36.625,146.5
2023-08-01 07:45:00,36.84375,147.375
2023-08-01 08:00:00,37.15625,148.625
2023-08-01 08:15:00,38.03125,152.125
2023-08-01 08:30:00,36.59375,146.375
2023-08-01 08:45:00,37.8125,151.25
2023-08-01 09:00:00,37.53125,150.125
2023-08-01 09:15:00,36.8125,147.25
2023-08-01 09:30:00,37.90625,151.625
2023-08-01 09:45:00,38.59375,154.375
2023-08-01 10:00:00,38.46875,153.875
2023-08-01 10:15:00,37.28125,149.125
2023-08-01 10:30:00,38.46875,153.875
2023-08-01 10:45:00,37.5,150.0
2023-08-01 11:00:00,37.0625,148.25
2023-08-01 11:15:00,37.8125,151.25
2023-08-01 11:30:00,37.53125,150.125
2023-08-01 11:45:00,36.78125,147.125
2023-08-01 12:00:00,37.625,150.5
2023-08-01 12:15:00,37.90625,151.625
